name,landmark_type,lng,lat
PWU Career Development and Continuing Education Center,college_university,120.53575609,14.67621784
Harbor Point Subic,shopping_center,120.5354125,14.6777403
Bataan Peninsula State University Balanga,college_university,120.53781158519,14.72018713077
"Divine Word College of Vigan, Inc.",college_university,120.54362,14.67681
Maritime Academy of Asia and the Pacific,college_university,120.5496232821094,14.445260261520566
Vista Mall Bataan,shopping_center,120.53392313,14.65482901
Vista Cinemas,cinema,120.53309822944101,14.654690704788106
Recar Commercial Complex,shopping_center,120.53991416,14.67866679
"San Rafael Village, Pilar Bataan",cinema,120.56233587313524,14.670574159238667
Bataan Peninsula State University - Balanga Campus,college_university,120.54163987,14.68121332
SM Cinema Bataan,cinema,120.53839,14.68364
Vape N Sky,shopping_center,120.55801179,14.66478808
Centre Plaza Mall,shopping_center,120.54112956,14.67992388
Sapit Twins General Merchandise,bicycle_shop,120.5429197166408,14.774520283344467
BPSU Main Guidance and Counseling Services,college_university,120.5338334,14.6764791
ACLC College,college_university,120.541779,14.679928
Capitol Square Balanga,shopping_center,120.53940776,14.67819268
Lone Star Palisades Commercial Complex,shopping_center,120.53558667,14.6768199
HAPPY GO Shopping Center - Iba Zambales Branch,shopping_center,120.5549009,14.6666077
BSEd Social Studies - 2B,college_university,120.54091,14.6827
Bpsu Abucay Campus,college_university,120.5372789,14.7203856
Microcity College of Business and Technology,college_university,120.53931564230983,14.693218986539433
Shop Ni Henry,bicycle_shop,120.54152891,14.68134487
Asia Pacific College of Advanced Studies,college_university,120.537035,14.67938334
Aficionado Ocampos,shopping_center,120.54014277,14.67997018
SM City Bataan,shopping_center,120.53896,14.68642
Agusan del Sur College,college_university,120.54377,14.670785
Walter Mart,shopping_center,120.539314,14.6782675
Cinema 2,cinema,120.53298071689022,14.654665962093397
Bpsu,college_university,120.54965138807,14.684162906732
Galeria Victoria,shopping_center,120.54141222,14.6790889
Trinx Bikes,bicycle_shop,120.54078994,14.68286899
Balanga Town Plaza,shopping_center,120.5406963,14.6795347
Tomas del Rosario College,college_university,120.53710015,14.67854664
Bataan Maritime Institute,college_university,120.5371641,14.6642798
Robinson's Department Store,shopping_center,120.54135615,14.67919039
Imart Balanga Bataan - Retail,shopping_center,120.5418829,14.6862868
Kalayaan College in Bataan,college_university,120.53790974,14.70405481
Bataan Peninsula State University,college_university,120.53068388,14.67694694
Ocampo's Mega Store,shopping_center,120.54017979,14.68000105
Cerdeña Royals Bike Shop,bicycle_shop,120.540748,14.68284703
Center Plaza Mall Cinemas,shopping_center,120.54092084116681,14.679775396981583
Jollibee Center Plaza Balanga,shopping_center,120.53551414999488,14.727782150045147
Microcity Computer College,college_university,120.53413237,14.6779711
Philippine Women's University,college_university,120.53575614,14.67627092
St. Joseph City School of Balanga Bataan,college_university,120.5429681,14.67624668
Newstar Shopping Mart,shopping_center,120.53213778,14.6725279
MPS Commercial Center,shopping_center,120.54128126,14.68137778
"New Star, Balanga Bataan",shopping_center,120.53188460132195,14.672754100059548
The Philwomenian - PWU CDCEC Bataan,college_university,120.53565,14.67646
Tomas del Rosario College,college_university,120.53757795,14.67807552
Austria Paradise Resort Gamefarm,shopping_center,120.53132588,14.68329206
"Vista Mall Roman Highway Balanga City, Bataan",shopping_center,120.5354395,14.7254543
JP Bicycle and Motorcycle Accessories Shop,bicycle_shop,120.53841761,14.69332012
BPSU College of Allied Health Sciences Student Government,college_university,120.53661084999592,14.663618450000834
Rider's Corner Bicycle Shop,bicycle_shop,120.54012424,14.68025935
Direct Shopping Express,shopping_center,120.53481119,14.67642432
BPSU - Balanga Campus Student Government,college_university,120.54209947586,14.680955985912
Bataan Maritime Institute,college_university,120.54499995,14.66623612
Apertine Arcade,shopping_center,120.59551352,14.56381459
Crank n' Creek Bicycle Shop,bicycle_shop,120.57914732,14.61527391
Limay Polytechnic College,college_university,120.59587046,14.56479592
CPM Movie Theater,cinema,120.591426,14.458955
Harbor Point Subic,shopping_center,120.5906233,14.5636295
13th Grave Cycles,bicycle_shop,120.5791639,14.61374074
KolinPhil Incorporated,shopping_center,120.94249549,14.28885953
Jhaze Rice Warehouse,shopping_center,120.87706903,14.2570493
Cavite West Point College,college_university,120.72723822,14.2805294
Cavite State University (Main Campus),college_university,120.87756013450301,14.294590911222027
Vista Mall,shopping_center,120.91211192528189,14.323259240486678
Young Ji International School,college_university,120.91877613,14.30999
Kabaro Sailing Stuff,cinema,120.90106,14.281789636322
Erick Bikes,bicycle_shop,120.90243746,14.31523323
NSN Enterprises,shopping_center,120.86826446,14.28188071
Cavite State University Trece Martires City Campus,college_university,120.87141380087235,14.322873682390195
Cavite State University Trece Martires City Campus,college_university,120.87557473,14.2832721
Trece Martires City College,college_university,120.869,14.2794
St. Francis Square Mall,shopping_center,120.91596357,14.26937912
SM City Trece Martires,shopping_center,120.86595038157,14.281596182657
FEAPITSAT College of Maragondon,college_university,120.73630611,14.27444001
Del Star Bicycle Shop,bicycle_shop,120.90858338,14.29210528
Sky King Mall,shopping_center,120.76702668,14.32086078
SM Dasma and Robinson Dasma,shopping_center,120.7771876,14.3244862
NCST,college_university,120.94228768,14.31941298
Trece Martires City College,college_university,120.87153514,14.27416396
Gunwooedu,shopping_center,120.89733693,14.28711193
Cyclistavill Bicycle and E-Bike Shop,bicycle_shop,120.89513341,14.32306095
Vista Cinema,cinema,120.9125867721,14.322772776438
DLSMHSI College of Allied Sciences,college_university,120.94438329,14.32712518
West Point College,college_university,120.77074999,14.31038285
CvSU - Science High School (SHS),college_university,120.87760175085,14.294613456777
Lpu Cavite,college_university,120.91516633,14.28996575
Bodega Bikes Cavite,bicycle_shop,120.93734273,14.32420231
WalterMart Trece Martires,shopping_center,120.8705923,14.2804274
Ramstore Trece Martires,shopping_center,120.86831569,14.28479027
SCY's,shopping_center,120.92898952,14.31075914
My school,college_university,120.91554172,14.29101656
Eagle Ridge Town Center,shopping_center,120.91748131,14.25131032
